genres,movie_id,original_title,plot,cast
"['Fantasy', 'Adventure', 'Animation']",367961,Савва. Сердце воина,A fairytale about a grand life journey of a 10-year old boy Savva devoted to help his Mom and fellow village people to break free from the vicious hyenas.,"['Maksim Chukharyov', 'Konstantin Khabenskiy', 'Mikhail Galustyan']"
"['Drama', 'Romance']",314385,By the Sea,"Set in France during the mid-1970s, Vanessa, a former dancer, and her husband Roland, an American writer, travel the country together. They seem to be growing apart, but when they linger in one quiet, seaside town they begin to draw close to some of its more vibrant inhabitants, such as a local bar/café-keeper and a hotel owner.","['Angelina Jolie', 'Brad Pitt', 'Mélanie Laurent']"
"['Comedy', 'Family']",333348,Love the Coopers,"When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.","['Steve Martin', 'Diane Keaton', 'John Goodman']"
"['Drama', 'Science Fiction', 'Thriller']",228066,Victor Frankenstein,Eccentric scientist Victor Von Frankenstein creates a grotesque creature in an unorthodox scientific experiment.,"['James McAvoy', 'Daniel Radcliffe', 'Jessica Brown Findlay']"
"['Drama', 'Thriller', 'History']",314365,Spotlight,"The true story of how The Boston Globe uncovered the massive scandal of child abuse and the cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams']"
['Animation'],227973,The Peanuts Movie,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their arch-nemesis, while his best pal Charlie Brown begins his own epic quest back home.","['Noah Schnapp', 'Bill Melendez', 'Venus Schultheis']"
"['Comedy', 'Animation']",293644,Don Gato: El inicio de la pandilla,Top Cat has arrived to charm his way into your hearts! Ever wonder how this scheming feline got his start? Well Top Cat Begins reveals the origins of everything you know and love about this classic comedy hero. What follows is an adventure so crazy that it has to be seen to be believed!,"['Jason Harris', 'David Hoffman', 'Bill Lobley']"
['Family'],447027,Running Forever,"After being estranged since her mother's death in the 9/11 attacks, both daughter and father must work together to re-establish their relationship. When the difficulty nearly consumes them both, a bond with a beautiful horse that has also gone through its own tragic loss brings Taylor Sims, back to what is important - family, friendship and faith. With help from the community and from above, they repair the pieces of their lives and learn to stop running, forever.",[]
['Horror'],323270,The Horror Network Vol. 1,"Serial killers, ghostly phone calls, inner demons, otherworld monsters and creepy stalkers collide in this frightening anthology. Six of horror's most promising new directing talents join forces to pay homage to classic horror in the tradition of ""Creepshow"", ""Tales From the Crypt"", ""Tales From the Darkside"", and ""Trilogy of Terror,"" and weave an unforgettable, disturbing tapestry of terror.","['Nick Frangione', 'Artem Mishin', 'Jan Cornet']"
"['Action', 'Adventure', 'Crime']",206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","['Daniel Craig', 'Christoph Waltz', 'Léa Seydoux']"
[],365052,The Looking Glass,"Troubled 13-year-old Julie loses her mother and must go to Indiana to live with her grandmother Karen. A former star of stage and screen, Karen has the early stages of Alzheimer's and wants to pass on all she knows to her granddaughter before it's too late. Will their troubled relationship allow this to happen?","['Dorothy Tristan', 'Jace Casey', 'Jace Casey']"
"['Thriller', 'Drama']",360339,Eden,"After their plane crashes off the coast of a deserted Pacific island, the surviving members of an American soccer team find themselves in the most dire of circumstances with limited resources, dwindling food supply and no rescue coming any time soon.  Team spirit evaporates as disagreements cause the group to separate into factions - a violent one lead by an unbalanced ruler, and a compassionate one led by a selfless player.","['Jessica Lowndes', 'Ethan Peck', 'Diego Boneta']"
"['Fantasy', 'Action', 'Adventure']",274854,The Last Witch Hunter,"The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.","['Vin Diesel', 'Rose Leslie', 'Elijah Wood']"
"['Drama', 'Romance']",167073,Brooklyn,"In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.","['Saoirse Ronan', 'Domhnall Gleeson', 'Emory Cohen']"
